name,href,years,imdb_description,pg_rating,imdb_genre_tags,imdb_rating,num_votes,img_thumbnail,tmdb_id,tmdb_name,original_name,original_language,origin_country,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,first_air_date,tmdb_adult_content,tmdb_poster_path,tmdb_overview,tmdb_tagline,tmdb_genres,tv_networks,tmdb_keywords,is_anime
Hemlock Grove,/title/tt2309295/,(2013–2015),"Secrets are just part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",TV-MA,"Drama, Fantasy, Horror",7.0,41200,"https://m.media-amazon.com/images/M/MV5BMjA5YWNjYzctY2FlMy00NDgxLWE3NjgtYTVhMTY5M2YwNzEyXkEyXkFqcGdeQXVyOTQxNzM2MjY@._V1_UY98_CR1,0,67,98_AL_.jpg",42295.0,Hemlock Grove,Hemlock Grove,en,['US'],31.462,7.163,427.0,2013-04-19,False,/sjGOYM7GTG03aWUZIFOUiFDTeoL.jpg,"One cannot quench his all-consuming thirst. The other cannot tame the beast clawing its way out. In the sleepy Pennsylvania village of Hemlock Grove, two young men struggle to accept painful truths: about family, themselves, the mystery of the White Tower - and a terrifying new threat so powerful it will turn them from predators into prey.",Even demons have demons.,Mystery,Netflix,"fortune teller, based on novel or book, gypsy, pennsylvania, usa, mad scientist, werewolf, family, witchcraft, unlikely friendship, deformity",0
Humans,/title/tt4122068/,(2015–2018),In a parallel present where the latest must-have gadget for any busy family is a 'Synth'--a highly-developed robotic servant that's so similar to a real human--is transforming the way we live.,TV-14,"Drama, Sci-Fi",7.9,40774,"https://m.media-amazon.com/images/M/MV5BMTQ3NjE2OTY4NF5BMl5BanBnXkFtZTgwMTE0NDc0ODE@._V1_UX67_CR0,0,67,98_AL_.jpg",62822.0,Humans,Humans,en,['GB'],23.539,7.49,483.0,2015-06-14,False,/iBjjSGgnjAQBSQGO9pYIh7Gp2PO.jpg,In a parallel present where the latest must-have gadget for any busy family is a 'Synth' - a highly-developed robotic servant that's so similar to a real human it's transforming the way we live.,Made in our image. Out of our control.,"Sci-Fi & Fantasy, Drama, Mystery",Channel 4,"artificial intelligence, technology, robot",0
Slow Horses,/title/tt5875444/,(2022– ),Follows a team of British intelligence agents who serve as a dumping ground department of MI5 due to their career-ending mistakes.,TV-MA,"Drama, Thriller",7.9,40116,"https://m.media-amazon.com/images/M/MV5BNDgwODEwOTYtODYwMS00MzE5LTg3ODktOTU2YjExYWEzMmQ2XkEyXkFqcGdeQXVyNjYxNjc0OTc@._V1_UY98_CR0,0,67,98_AL_.jpg",95480.0,Slow Horses,Slow Horses,en,['GB'],42.866,7.63,161.0,2022-03-31,False,/8FM8KCgZQSbLLXcZew0MSj6so1k.jpg,"This quick-witted spy drama follows a dysfunctional team of MI5 agentsand their obnoxious boss, the notorious Jackson Lambas they navigate the espionage worlds smoke and mirrors to defend England from sinister forces.",The very bottom of top secret.,"Drama, Crime",Apple TV+,"london, england, based on novel or book, spy, secret agent, terrorism, british spy, mi5, british intelligence, team",0
Empire,/title/tt3228904/,(2015–2020),"A hip-hop mogul must choose a successor among his three sons who are battling for control over his multi-million dollar company, while his ex-wife schemes to reclaim what is hers.",TV-14,"Drama, Music",7.4,40013,"https://m.media-amazon.com/images/M/MV5BOWY0ZmY1Y2MtYTY0OC00ODc4LTg1MjEtOTY2Yjg0MmM3MTZjXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg",61733.0,Empire,Empire,en,['US'],53.527,7.177,679.0,2015-01-07,False,/gTrzYR6gWMhQ8yINW9JCLeoJHvf.jpg,A powerful family drama about the head of a music empire whose three sons and ex-wife all battle for his throne.,Their reign. Their rules.,Drama,FOX,"hip-hop, sibling rivalry, music",0
The Rain,/title/tt6656238/,(2018–2020),"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.",TV-MA,"Drama, Sci-Fi, Thriller",6.3,38833,"https://m.media-amazon.com/images/M/MV5BMTU2MjMwNDI2OV5BMl5BanBnXkFtZTgwMDU2NzczNTM@._V1_UX67_CR0,0,67,98_AL_.jpg",76719.0,The Rain,The Rain,da,['DK'],39.467,7.358,1076.0,2018-05-04,False,/bBBpi5pgOEZlCOgx2q116oPdJnx.jpg,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety. A Scandinavian thriller series.",Stay dry. Stay alive.,"Sci-Fi & Fantasy, Drama",Netflix,"bunker, post-apocalyptic future, search, virus, teen drama, flower",0
Hollywood,/title/tt9827854/,(2020),A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.,TV-MA,"Drama, History",7.5,38271,"https://m.media-amazon.com/images/M/MV5BODc5ZDZmNTEtZDJjZC00ZmMzLWJlZWQtOWNiODI5YjE0YzBmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",87050.0,Hollywood,Hollywood,en,['US'],10.846,7.5,225.0,2020-05-01,False,/5ghUhebhuKpNAfbVrqJJqQZ3xFI.jpg,A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big  no matter the cost.,What if you could rewrite the story?,Drama,Netflix,"movie business, miniseries, alternate history, hollywood, racism, 1940s, old hollywood",0
Beauty and the Beast,/title/tt2193041/,(2012–2016),A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast.,TV-14,"Drama, Horror, Romance",7.0,37345,"https://m.media-amazon.com/images/M/MV5BMTM3MzE1ODE4OF5BMl5BanBnXkFtZTcwODI0MTcyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",44606.0,Beauty and the Beast,Beauty and the Beast,en,['US'],33.864,7.471,378.0,2012-10-11,False,/6rZ2I1xRemLORb65spepVmsvnf7.jpg,"Detective Catherine Chandler is a smart, no-nonsense homicide detective. When she was a teenager, she witnessed the murder of her mother at the hands of two gunmen and herself was saved by someone  or something. Years have passed and while investigating a murder, Catherine discovers a clue that leads her to Vincent Keller, who was reportedly killed in 2002. Catherine learns that Vincent is actually still alive and that it was he who saved her many years before. For mysterious reasons that have forced him to live outside of traditional society, Vincent has been in hiding for the past 10 years to guard his secret  when he is enraged, he becomes a terrifying beast, unable to control his super-strength and heightened senses.",How brave is your love?,"Drama, Sci-Fi & Fantasy",The CW,"new york city, experiment, police, super soldier, female detective, beast, ex soldier",0
Masters of Sex,/title/tt2137109/,(2013–2016),Drama about the pioneers of the science of human sexuality whose research touched off the sexual revolution.,TV-MA,"Drama, Romance",7.9,37314,"https://m.media-amazon.com/images/M/MV5BMTgzNjkzNjMxOF5BMl5BanBnXkFtZTgwMTcyMTg2OTE@._V1_UY98_CR2,0,67,98_AL_.jpg",58937.0,Masters of Sex,Masters of Sex,en,['US'],32.544,7.038,301.0,2013-09-29,False,/bC42ksckQpjfck2BZ5McaEDN4pk.jpg,"William Masters and Virginia Johnson are real-life pioneers of the science of human sexuality. Their research touched off the sexual revolution and took them from a midwestern teaching hospital to the cover of Time magazine and multiple appearances on Johnny Carson's couch. He is a brilliant scientist out of touch with his own feelings, and she is a single working mother ahead of her time. The series chronicles their unusual lives, romance, and unlikely pop culture trajectory.",,Drama,Showtime,"sexuality, unfaithfulness, medical research, historical drama, sexologist",0
Keeping Up with the Kardashians,/title/tt1086761/,(2007–2021),"A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney, Khloé, Kendall and Kylie.",TV-14,"Family, Reality-TV",2.8,30657,"https://m.media-amazon.com/images/M/MV5BMjJhMzUyYzQtMWZmYy00MGQ0LTlhMjMtMDkxOTFiZjRjNmFiXkEyXkFqcGdeQXVyMTI5NzE3NDQ2._V1_UY98_CR3,0,67,98_AL_.jpg",14814.0,Keeping Up with the Kardashians,Keeping Up with the Kardashians,en,['US'],48.852,7.575,820.0,2007-10-14,False,/nddXOC8wYpIDv7giLzjjqIg8WDA.jpg,"A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney and Khlo.",Family ever after.,Reality,E!,"sibling relationship, los angeles, california, fashion, family",0
Switched at Birth,/title/tt1758772/,(2011– ),Two teenage girls' lives are turned upside down when they find out they were switched at birth.,TV-14,"Drama, Family, Romance",7.7,25490,"https://m.media-amazon.com/images/M/MV5BMWJjNWQ4NzItYTk5OC00OTNhLWFiMzAtYTJlOWJkYmNhYzI4XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX67_CR0,0,67,98_AL_.jpg",37632.0,Switched at Birth,Switched at Birth,en,['US'],27.941,7.597,176.0,2011-06-06,False,/db5XnOxGcUHeNhBRNbHfqTlzXmk.jpg,"The story of two teenage girls who discover they were accidentally switched as newborns in the hospital. Bay Kennish grew up in a wealthy family with two parents and a brother, while Daphne Vasquez, who lost her hearing at an early age due to a case of meningitis, grew up with a single mother in a working-class neighborhood. Things come to a dramatic head when both families meet and struggle to learn how to live together for the sake of the girls.",One mistake changed two families forever.,Drama,"ABC Family, Freeform","deaf, disabled, switched at birth, sign languages, teen drama, biological parents",0
