name,href,years,imdb_description,pg_rating,imdb_genre_tags,imdb_rating,num_votes,img_thumbnail,tmdb_id,tmdb_name,original_name,original_language,origin_country,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,first_air_date,tmdb_adult_content,tmdb_poster_path,tmdb_overview,tmdb_tagline,tmdb_genres,tv_networks,tmdb_keywords,is_anime
Gavin & Stacey,/title/tt0908454/,(2007–2019),Gavin and Stacey have been continuing their romance on-line and by telephone for the last six months. Now they want to be together but will their friends and family let them?,TV-14,"Comedy, Drama, Romance",8.2,21246,"https://m.media-amazon.com/images/M/MV5BMjBhZmZhMDQtM2RmYS00YTlmLTgyYWYtN2I5YTQ2NjRhMTRjXkEyXkFqcGdeQXVyMTI5OTk3NDY5._V1_UX67_CR0,0,67,98_AL_.jpg",3696.0,Gavin & Stacey,Gavin & Stacey,en,['GB'],8.071,7.38,83.0,2007-05-13,False,/jNpySE7Rwq1DlhHadMZnGquralv.jpg,"Gavin is an ordinary boy from Billericay, Essex. Stacey is an ordinary girl from Barry Island, South Wales. Theyve spoken on the phone every day at work for months but theyve never actually met until now.",,"Comedy, Drama","BBC Three, BBC One","dating, relationship, long distance relationship, sitcom, straight relationship",0
Lovesick,/title/tt4051832/,(2014–2018),"After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.",TV-MA,Comedy,8.0,21241,"https://m.media-amazon.com/images/M/MV5BMzdjNDU5ZTEtNTA3OC00MmZkLTk0MDAtNDM1OTg3Y2NmZGM1XkEyXkFqcGdeQXVyMjA4Njg4OTQ@._V1_UY98_CR1,0,67,98_AL_.jpg",62668.0,Lovesick,Lovesick,en,['GB'],17.149,7.373,110.0,2014-10-02,False,/2JDE4yNnxbHYiZZqnnMyR0u4auv.jpg,"After finding out he has an STI, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.",,Comedy,"Channel 4, Netflix","friendship, friends in love, sitcom, sexually transmitted disease, young adult",0
My So-Called Life,/title/tt0108872/,(1994–1995),"A 15-year-old girl and her trials and tribulations of being a teenager and dealing with friends, guys, parents, and school.",TV-14,"Comedy, Drama, Romance",8.4,21209,"https://m.media-amazon.com/images/M/MV5BNDYxYjUwNTUtZDY3Yy00N2JiLWJmMzEtZDg5ZTZlMWM3MGJjXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_UX67_CR0,0,67,98_AL_.jpg",1101.0,My So-Called Life,My So-Called Life,en,['US'],6.686,7.505,101.0,1994-08-25,False,/a2mumQ8QgJ3uDz14P7iwnk4x8mO.jpg,"The life of a 15 year-old high school student, whose angst-ridden journey through adolescence, friendship, parents, and life teaches her what it means to grow up.",,"Drama, Comedy",ABC,"high school, friendship, family relationships, romance, coming of age, teenage girl, school, first love, teen drama, teen social issues",0
I'm Alan Partridge,/title/tt0129690/,(1997–2002),"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",TV-MA,Comedy,8.6,21097,"https://m.media-amazon.com/images/M/MV5BYmI1ZmI3ODctMThmMS00OTliLWIyZmYtOWQ2MDA3Nzg2NWI0XkEyXkFqcGdeQXVyOTMyODgwOTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",1073.0,I'm Alan Partridge,I'm Alan Partridge,en,['GB'],10.583,7.25,120.0,1997-11-03,False,/dal43UDeYGNZ14vDAHbE7U0mgrv.jpg,"The fortunes of a former chat show host who is reduced to a lowly slot on Radio Norwich. Alan Partridge is divorced, living in a travel tavern, and desperate for a return to television.",,Comedy,BBC Two,"radio, satire, sitcom",0
How I Met Your Father,/title/tt14500082/,(2022– ),"Sophie and her close-knit group of friends are in the midst of figuring out who they are, what they want out of life, and how to fall in love in the age of dating apps and limitless options.",TV-14,"Comedy, Drama",5.5,21092,"https://m.media-amazon.com/images/M/MV5BYTg2Yzk2NGItM2NhZS00YjBhLThiYWUtYmY1ZTUzMTY2YTVjXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX67_CR0,0,67,98_AL_.jpg",124010.0,How I Met Your Father,How I Met Your Father,en,['US'],39.403,6.944,135.0,2022-01-18,False,/8psLGtFzTMYCXxUNMpMOCB6doPn.jpg,"In the near future, Sophie tells her son the story of how she met his father: a story that catapults us back to the year 2021 where Sophie and her close-knit group of friends are in the midst of figuring out who they are, what they want out of life, and how to fall in love in the age of dating apps and limitless options.",Great friends. Meh decisions.,Comedy,Hulu,"romance, sitcom",0
Avenue 5,/title/tt10234362/,(2020–2022),"The troubled crew of Avenue 5, a space cruise ship filled with spoiled, rich, snotty space tourists, must try and keep everyone calm after their ship gets thrown off course into space and ends up needing three years to return to Earth.",TV-MA,"Comedy, Sci-Fi",6.6,21076,"https://m.media-amazon.com/images/M/MV5BZGMyMzRjNTAtOWExMy00MmUwLWE2MmYtZWY5Mjc1NzExZWQwXkEyXkFqcGdeQXVyMjQ4ODcxNTM@._V1_UX67_CR0,0,67,98_AL_.jpg",90811.0,Avenue 5,Avenue 5,en,['US'],18.446,6.587,271.0,2020-01-19,False,/inSe4HBqnwIoeqoChGlagVs0avG.jpg,"40 years in the future, space captain Ryan Clark and the crew of the luxury space cruise ship Avenue 5 navigate disgruntled passengers and unexpected events after experiencing technical difficulties onboard.",All cruise. No control.,"Comedy, Sci-Fi & Fantasy",HBO,"captain, starship, space, tourism",0
Isler Güçler,/title/tt2311418/,(2012–2013),"Ahmet, Murat and Sadi are actors who dream of shooting a movie and present a documentary called 'Meslek Hikayeleri' in order to make money.",TV-PG,Comedy,8.6,21030,"https://m.media-amazon.com/images/M/MV5BMTk2Nzc0OTExNl5BMl5BanBnXkFtZTgwMDc5MTI1NjE@._V1_UY98_CR0,0,67,98_AL_.jpg",48162.0,İşler Güçler,İşler Güçler,tr,['TR'],7.916,7.391,46.0,2012-06-28,False,/oiQKpU9dmmchBcauwvam8y8zHru.jpg,"ler Gler, is a Turkish comedy series which first aired on 28 June 2012 on Star TV and tells the story of 3 actors, with the motto, Modern Muzip Yalanlar. Ahmet Kural, Murat Cemcir and Sadi Celil Cengiz shares the leading roles. Although rumour had it that it was going to be over at the end of the summer, the board of Star TV made an explanation that they would go on issuing it in the 201213 publication season, due to the interest their fans had shown",,Comedy,Star TV,,0
The Rehearsal,/title/tt10802170/,(2022– ),Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,TV-MA,"Documentary, Comedy",8.6,20964,"https://m.media-amazon.com/images/M/MV5BNGI3ZTgwMzItMTA0ZC00NTFhLTkzNTQtMDBkMDc2NmVmY2NkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg",204284.0,The Rehearsal,The Rehearsal,en,['US'],7.165,8.103,78.0,2022-07-15,False,/uI2nDcPa92UDK6c88J4Mni7yHqR.jpg,"With a construction crew, a legion of actors, and seemingly unlimited resources, Nathan Fielder allows ordinary people to prepare for lifes biggest moments by rehearsing them in carefully crafted simulations of his own design. When a single misstep could shatter your entire world, why leave life to chance?",Why leave life to chance?,"Comedy, Documentary",HBO,funny interview,0
Baby Daddy,/title/tt2177489/,(2012–2017),A 20-something bachelor bartender becomes an unlikely parent when an ex-girlfriend leaves a baby girl on his doorstep.,TV-14,"Comedy, Drama, Family",7.3,20933,"https://m.media-amazon.com/images/M/MV5BZWFlMmY2YTMtNjU3Ni00MWJhLThkZDAtNWZmZmM4NGY0YjA5XkEyXkFqcGdeQXVyNDA3ODUzOTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",42272.0,Baby Daddy,Baby Daddy,en,['US'],31.842,7.158,177.0,2012-06-20,False,/lwpaNYFacUITOtfIZ1UDq7vnKeD.jpg,"Baby Daddy follows Ben, a young man in his early 20s living the life of a bachelor in New York City with his buddy, Tucker, and his brother, Danny. Their lives are turned upside down when they come home one day to find a baby girl left on the doorstep by an ex-girlfriend of Ben's. After much deliberation, Ben decides to raise the baby with the help of his friends and his protective and sometimes over-bearing mother, Bonnie, and his close female friend, Riley.",Time to Dad up.,Comedy,"ABC Family, Freeform","new york city, baby, roommate, single father, friends in love, sitcom, young adult, living with sibling",0
Bull,/title/tt5827228/,(2016–2022),"Brilliant, brash, and charming, Dr. Bull is the ultimate puppet master as he combines psychology, human intuition, and high-tech data to learn what makes jurors, attorneys, witnesses, and the accused tick.",TV-14,"Comedy, Crime, Drama",7.0,20844,"https://m.media-amazon.com/images/M/MV5BMjA1NDkyNjE4NV5BMl5BanBnXkFtZTgwMDM5NDQwMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",66840.0,Bull,Bull,en,['US'],52.193,7.074,317.0,2016-09-20,False,/r6bM2rNjSk5b9gWBOOKCVgKbjc0.jpg,"Dr. Jason Bull is the brilliant, brash, and charming founder of a hugely successful trial consulting firm.",He'll get you off.,"Crime, Drama",CBS,"investigation, jury, psychologist, lawyer, courtroom, analysis",0
Just Shoot Me!,/title/tt0118364/,(1997–2003),"Hot-tempered journalist Maya got herself fired yet again. Unable to find a job anywhere else and facing eviction, she is forced to go work for Blush, her father's fashion magazine.",TV-14,Comedy,6.9,20842,"https://m.media-amazon.com/images/M/MV5BMTUxNDkwNTU5N15BMl5BanBnXkFtZTcwNDI1ODUyMQ@@._V1_UY98_CR2,0,67,98_AL_.jpg",4576.0,Just Shoot Me!,Just Shoot Me!,en,['US'],17.454,6.643,129.0,1997-03-04,False,/gMN1vgdQjymySXMVjjq3p1lFeGX.jpg,"Just Shoot Me! is an American television sitcom that aired for seven seasons on NBC from March 4, 1997, to August 16, 2003, with 148 episodes produced. The show was created by Steven Levitan, the show's executive producer.",,Comedy,NBC,"magazine, fashion, fashion magazine, sitcom, workplace comedy",0
Catastrophe,/title/tt4374208/,(2015–2019),American man Rob gets Irish woman Sharon pregnant when they hook up for a week while he is on a business trip in London.,TV-MA,Comedy,8.2,20842,"https://m.media-amazon.com/images/M/MV5BNzMwNTI2MzIzM15BMl5BanBnXkFtZTgwODUxMjE0NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",61920.0,Catastrophe,Catastrophe,en,['GB'],12.374,7.573,103.0,2015-01-19,False,/eUDUramteLE9ByHp6PtFCaeFHKi.jpg,Rob Delaney and Sharon Horgan write and star in a comedy that follows an American man and an Irish woman who make a bloody mess as they struggle to fall in love in London.,,Comedy,Channel 4,"london, england, pregnancy, dating, sitcom",0
Dave,/title/tt8531222/,(2020– ),A neurotic mid-20s suburbanite's convinced he's destined to be one of the greatest rappers of all time. Now he's got to prove it to everyone else.,TV-MA,"Comedy, Music",8.3,20748,"https://m.media-amazon.com/images/M/MV5BZmMyMThlODUtYTA0ZC00ZmM0LTkyOTMtOGZjNWRhNzAxODNhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",97084.0,DAVE,DAVE,en,['US'],39.267,7.6,93.0,2020-03-04,False,/iorStu3DHuscNfQiIyQomvMyO0h.jpg,"A suburban neurotic man in his late 20s has convinced himself that hes destined to be one of the best rappers of all time. Now he must convince his closest friends, because with their help, he might actually convince the world.","He may be soft, but he always goes hard.",Comedy,FXX,"rap music, rapper",0
Dash & Lily,/title/tt1758589/,(2020),"A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations all across New York City.",TV-14,"Comedy, Drama, Romance",7.5,20623,"https://m.media-amazon.com/images/M/MV5BYmZmN2NlMjQtOTJiYS00ZmI4LWFmMTItNDk1ZDNmYTBkZDZiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",111625.0,Dash & Lily,Dash & Lily,en,['US'],10.983,8.047,243.0,2020-11-10,False,/2VsVifJ5OCJ9L2419ZPPoGbD4up.jpg,"A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams, and desires in the notebook they pass back and forth at locations all across New York City.","This holiday season, dare to fall in love.","Comedy, Drama",Netflix,"new york city, based on novel or book, holiday, opposites attract, christmas, based on young adult novel",0
That's So Raven,/title/tt0300865/,(2003–2007),"A teenage girl periodically receives brief psychic visions of the near future. Trying to make these visions come true results in trouble, and hilarious situations, for the girl and her friends.",TV-G,"Comedy, Family, Fantasy",6.6,20613,"https://m.media-amazon.com/images/M/MV5BZjBhMmI0NDItYjRlZC00ODBmLWE2Y2YtYjI1OWYyYTA0Mjc3XkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_UX67_CR0,0,67,98_AL_.jpg",4602.0,That's So Raven,That's So Raven,en,['US'],34.124,7.186,188.0,2003-01-17,False,/eohThtvBB4i52fyXI68dkWowdGE.jpg,"No ordinary teenager; Raven Baxter can see glimpses of the future! Watch her schemes and misadventures as she enlists the help of friends, including best friends Eddie and Chelsea, to change life's little outcomes. Raven's younger brother, Cory, is obsessed with money and creates get-rich-quick schemes to try to earn cash.",She can see the future. But she can't quite see what's coming next.,"Comedy, Sci-Fi & Fantasy",Disney Channel,"high school, san francisco, california, family relationships, psychic power, family, teen comedy, extrasensory perception, sitcom, family of color",0
The Addams Family,/title/tt0057729/,(1964–1966),The misadventures of a blissfully macabre but extremely loving family.,TV-G,"Comedy, Family, Horror",8.0,20517,"https://m.media-amazon.com/images/M/MV5BMTA5MmM4ZmYtMWE4My00OGUzLWE0ZDQtNGE5Mjc3ZWM0Y2Q1XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UY98_CR1,0,67,98_AL_.jpg",14009.0,The Addams Family,The Addams Family,en,['US'],44.435,7.985,307.0,1964-09-18,False,/aBZynbuxspjz01mxrWpP5ZyDIyq.jpg,"A satirical inversion of the ideal of the perfect American nuclear family, they are an eccentric wealthy family who delight in everything grotesque and macabre, and are never really aware that people find them bizarre or frightening. In fact, they themselves are often terrified by ""normal"" people.",,"Comedy, Family",ABC,"parent child relationship, vampire, butler, marriage, haunted house, dark comedy, satire, family relationships, wealthy, gothic, macabre, uncle nephew relationship, dark fantasy, sitcom, eccentric family, goth girls, addams family",0
Absolutely Fabulous,/title/tt0105929/,(1992–2012),"The wild misadventures of Edina ""Eddy"" Monsoon and her best friend Patsy Stone, who live in a nearly constant haze of drugged, drunken selfishness.",TV-14,Comedy,8.2,20490,"https://m.media-amazon.com/images/M/MV5BZTQ0MjQzMmEtYjE2My00ZTc4LWI3Y2YtMjg1N2NlOGI1ZjAzXkEyXkFqcGdeQXVyNjc4NTExMTk@._V1_UY98_CR1,0,67,98_AL_.jpg",4493.0,Absolutely Fabulous,Absolutely Fabulous,en,['GB'],16.777,7.42,119.0,1992-11-12,False,/y961thfQVrK3VV4PItxPsYeoGwt.jpg,"Set in the world of fashion and PR, immature fun-loving mother Edina Monsoon and her best friend Patsy drive Eddie's sensible daughter, Saffron, up the wall with their constant drug abuse and outrageous selfishness. Numerous in-jokes and heavy doses of cruel humour have made this series a cult hit in the UK and abroad.",,Comedy,BBC One,"london, england, self-destruction, career woman, satire, drugs, fashion, lgbt, middle age, sitcom",0
The Secret Life of the American Teenager,/title/tt1179817/,(2008–2013),"15 year old Amy ends up pregnant after one night at band camp, throwing her whole life upside down. It doesn't help that she's now going to school with that guy.",TV-14,"Comedy, Drama, Family",4.9,20435,"https://m.media-amazon.com/images/M/MV5BMTc2MDMyNTY1Nl5BMl5BanBnXkFtZTcwMzc2Mjk3NA@@._V1_UX67_CR0,0,67,98_AL_.jpg",5721.0,The Secret Life of the American Teenager,The Secret Life of the American Teenager,en,['US'],13.749,7.255,100.0,2008-07-01,False,/k2XTj9D0tzca3dSgvVojU9xk8F5.jpg,"Amy and her friends at Grant High learn to define themselves while they navigate the perilous waters of contemporary adolescence. Between their love triangles, secrets, drama, accusations, gossip, confusion, and scandalous rumors, there's never a dull moment.",Expect the Unexpected,"Drama, Comedy",ABC Family,"high school, pregnancy, teenage pregnancy, teen drama",0
Drop Dead Diva,/title/tt1280822/,(2009–2014),"A vapid aspiring model killed in a car crash gets brought back to life as an intelligent, overweight lawyer, hoping to find the meaning of inner beauty.",TV-PG,"Comedy, Drama",7.5,20285,"https://m.media-amazon.com/images/M/MV5BMjIxMzUyOTk4MV5BMl5BanBnXkFtZTcwMjEwMDQyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",18520.0,Drop Dead Diva,Drop Dead Diva,en,['US'],30.162,7.841,223.0,2009-07-12,False,/4J8DKF6UOfcHIWcyap9NK1acnoU.jpg,"A shallow model suddenly dies in an accident only to find her soul resurfacing in the body of a brilliant, plus-sized attorney.",Sometimes life throws you curves.,"Comedy, Drama",Lifetime,"afterlife, overweight, second life, lawyer, law firm, life after death, life lessons",0
Dead Set,/title/tt1285482/,(2008),"During a fictional series of Big Brother, a zombie outbreak occurs, but the house-mates are unaware of the impending doom outside of the Big Brother House.",TV-MA,"Comedy, Drama, Horror",7.6,20267,"https://m.media-amazon.com/images/M/MV5BMTQ1NDgxMzM4Ml5BMl5BanBnXkFtZTcwNzA0NDMwMg@@._V1_UY98_CR1,0,67,98_AL_.jpg",7831.0,Dead Set,Dead Set,en,['GB'],9.589,7.309,235.0,2008-10-27,False,/piGeJMaYQk1fMpRL4kBd2GLiMVS.jpg,"Zombies are rampaging throughout Britain. Blissfully unaware of gory events outside, the Big Brother housemates are in for the ultimate eviction night...",,"Drama, Sci-Fi & Fantasy",E4,"dark comedy, gore, satire, social commentary, miniseries, zombie, producer, survival horror, zombie apocalypse, fictional reality tv",0
Kim's Convenience,/title/tt5912064/,(2016–2021),The misadventures of a Korean-Canadian family running a convenience store.,TV-14,Comedy,8.2,20249,"https://m.media-amazon.com/images/M/MV5BODQxMmI3ZGQtOGRlNy00MzI3LWE3ZmItOWRjM2I2YjQyYzgzXkEyXkFqcGdeQXVyMzI2MzYyNzI@._V1_UY98_CR6,0,67,98_AL_.jpg",68106.0,Kim's Convenience,Kim's Convenience,en,['CA'],16.824,7.795,73.0,2016-10-11,False,/82Vue6MPuYZzlpggR65cvWdBdy.jpg,"The funny, heartfelt story of The Kims, a Korean-Canadian family, running a convenience store in downtown Toronto. Mr. and Mrs. Kim ('Appa' and 'Umma') immigrated to Toronto in the '80s to set up shop near Regent Park and had two kids, Jung and Janet who are now young adults. However, when Jung was 16, he and Appa had a major falling out involving a physical fight, stolen money and Jung leaving home. Father and son have been estranged since.",Family comedy. In store.,Comedy,CBC Television,"toronto, canada, based on play or musical, east asian lead, sitcom, family of color",0
Go On,/title/tt2300923/,(2012–2013),"An irreverent sportscaster, pressured by his boss to join a support group because he can't move forward after the death of his wife, finds connection with the extremely varied members.",TV-PG,Comedy,7.5,20241,"https://m.media-amazon.com/images/M/MV5BMTYwOTgwOTU2OF5BMl5BanBnXkFtZTcwNDQ5NTU0OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",44987.0,Go On,Go On,en,['US'],11.513,6.579,89.0,2012-08-08,False,/v23Z8R3phUWCTeaHiNme9yepOAG.jpg,"Ryan King, a recent  widower and sports talk radio host ready to get back to work after the  loss of his wife. Ryan's alpha-male boss, Stephen, has a different  plan in store for Ryan, making him attend grief counseling before  returning to the air. A reluctant Ryan finds himself in a support group  for ""life change,"" where he meets an oddball cast of characters, all  with their own backstories filled with varying degrees of loss.",,Comedy,NBC,"support group, grief, death, radio host, sitcom, death of wife",0
Dinosaurs,/title/tt0101081/,(1991–1994),"This show follows the life of a family of dinosaurs, living in a modern world. They have televisions, refrigerators, et cetera. The only humans around are cavemen, who are viewed as pets and wild animals.",TV-PG,"Comedy, Family, Fantasy",7.5,20208,"https://m.media-amazon.com/images/M/MV5BOWFkYjgzNmYtMjk4MC00NzliLTk1OGItNjBlNjllZGJhMDE3XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UY98_CR0,0,67,98_AL_.jpg",3763.0,Dinosaurs,Dinosaurs,en,['US'],43.037,7.79,870.0,1991-04-26,False,/rcD2grjO6xAerWLkSgpmGkGhnTH.jpg,"Dinosaurs follows the life of a family of dinosaurs, living in a modern world. They have TV's, fridges, microwaves, and every modern convenience.",,"Sci-Fi & Fantasy, Comedy, Family",ABC,"family relationships, prehistoric, puppetry, dinosaur, employer employee relationship, sitcom, prehistory, management training",0
Looking,/title/tt2581458/,(2014–2015),The experiences of three close friends living and loving in modern-day San Francisco.,TV-MA,"Comedy, Drama, Romance",8.2,20143,"https://m.media-amazon.com/images/M/MV5BMTQyOTU1OTM1NF5BMl5BanBnXkFtZTgwMTc3MjMwMTE@._V1_UX67_CR0,0,67,98_AL_.jpg",57774.0,Looking,Looking,en,['US'],12.055,7.316,107.0,2014-01-19,False,/cMIRpZUOXwZcDoGyRJnwrrZQYzW.jpg,Three friends in San Francisco who explore the fun and sometimes overwhelming options available to a new generation of gay men.,Find something real.,"Comedy, Drama",HBO,"friendship, san francisco, california, male friendship, love, lgbt, gay culture, gay",0
TVF Tripling,/title/tt6005644/,(2016– ),"Divorced, jobless, hopeless. Three siblings plan a road trip together. Chandan, Chanchal & Chitvan. Together they start a hilarious journey, to find themselves and their relations..",TV-PG,"Comedy, Drama",8.5,20131,"https://m.media-amazon.com/images/M/MV5BNDBkOGJhYTctNzM0Mi00NGJmLTk2NjUtMmZhMjc3NWVhNzYyXkEyXkFqcGdeQXVyMTExMTIzMTA5._V1_UX67_CR0,0,67,98_AL_.jpg",69710.0,TVF Tripling,TVF Tripling,hi,['IN'],6.468,7.423,26.0,2016-08-28,False,/nnW7gEhZB3CcJkRgWgoQTfPDaIO.jpg,"Divorced, jobless, hopeless. Three siblings plan a road trip together. Chandan, Chanchal & Chitvan. Together they start a hilarious journey, to find themselves and their relations.",,"Comedy, Drama","YouTube, TVFPlay , ZEE5","sibling relationship, road trip",0
Vikingane,/title/tt5905354/,(2016–2020),Viking life at the close of the 8th century.,TV-MA,"Comedy, History",7.7,19878,"https://m.media-amazon.com/images/M/MV5BN2U1ZTViMTItMDUwZC00NTBkLTlmMGItZjE2NjdmZjMxYWZkXkEyXkFqcGdeQXVyMTI5NjYwNDQ@._V1_UY98_CR1,0,67,98_AL_.jpg",68126.0,Norsemen,Vikingane,no,['NO'],27.093,7.013,115.0,2016-10-21,False,/xCt02AL7i395Nwfq8jbq1C54mvX.jpg,"Norsemen is an epic and humorous drama series set in the Viking Age. The residents of an 8th-century Viking village experience political rivalry, social change and innovations that upend their culture and way of life.",,"Comedy, Drama",NRK1,"viking, norway, historical, medieval, historical drama, european history, 8th century, nordic history",0
Insecure,/title/tt5024912/,(2016–2021),Follows the awkward experiences and racy tribulations of a modern-day African-American woman.,TV-MA,"Comedy, Romance",8.0,19761,"https://m.media-amazon.com/images/M/MV5BYmJlZGEyZDctZTA1Yy00MzExLTk0ZWMtMjgwNjAwMGU1ZjRjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR5,0,67,98_AL_.jpg",67883.0,Insecure,Insecure,en,['US'],19.912,7.618,157.0,2016-10-09,False,/sGMwPIE6m9QI3LzCRXnZG8opZtB.jpg,Follows the awkward experiences and racy tribulations of a modern-day African-American woman.,,"Comedy, Drama",HBO,,0
Lizzie McGuire,/title/tt0273366/,(2001–2004),The daily adventures of an adolescent girl whose real thoughts and emotions are expressed by her sarcastic animated alter ego.,TV-G,"Comedy, Drama, Family",6.6,19751,"https://m.media-amazon.com/images/M/MV5BNTBlNjNjZjktMmQxMi00M2FhLTgzOTctMTc5YjZkODJlYTFlXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UY98_CR3,0,67,98_AL_.jpg",4575.0,Lizzie McGuire,Lizzie McGuire,en,['US'],32.34,7.353,285.0,2001-01-12,False,/vaaF94ogtMCPnFNyX7YUo9Ebfc8.jpg,"Lizzie McGuire is all about the ordinary and not-so-ordinary adventures of a junior high student and her two best friends as they try to deal with the ups and downs of school, popularity, boys, parents, a bratty little brother--just life in general. And if Lizzie leaves anything unsaid, you can bet that her cartoon alter ego will say it for her!",,Comedy,Disney Channel,sitcom,0
The Eric Andre Show,/title/tt2244495/,(2012– ),"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",TV-MA,"Comedy, Talk-Show",8.6,19743,"https://m.media-amazon.com/images/M/MV5BZWI4YTVhYmMtZmZjNS00MmFjLTkyMDItNzcxYjVjZjZmODliXkEyXkFqcGdeQXVyMzM4NjcxOTc@._V1_UX67_CR0,0,67,98_AL_.jpg",56590.0,The Eric Andre Show,The Eric Andre Show,en,['US'],17.135,7.906,101.0,2012-05-20,False,/lVMkbtJ0hp60iUvdNKeNWOfy4jf.jpg,"A comedic talk show from an alternate reality featuring unstable hosts, a variety of celebritiesboth real and fakeand unusual studio action.",,Comedy,Adult Swim,"talk show, surreal, parody, hidden camera, absurdist humor",0
Friday Night Dinner,/title/tt1844923/,(2011–2020),"Two siblings share their Friday-night dinners at their parents' home and, somehow, something always goes wrong.",TV-14,Comedy,8.1,19724,"https://m.media-amazon.com/images/M/MV5BMGNmNDYxYjYtY2U0OC00MDZlLTkwOTktYTExZDEzMGZiNjkwXkEyXkFqcGdeQXVyMTA2NTgxNzE1._V1_UX67_CR0,0,67,98_AL_.jpg",34435.0,Friday Night Dinner,Friday Night Dinner,en,['GB'],14.521,7.898,103.0,2011-02-25,False,/aGVttwpCQ6pMXxLcOIHT82XMTCS.jpg,"Two siblings share their Friday night dinners at their parents home and, somehow, something always goes wrong.",,Comedy,"Channel 4, E4","england, dysfunctional family, family dinner, family, sitcom",0
Happy Days,/title/tt0070992/,(1974–1984),The Cunningham family live through the 1950s with help and guidance from lovable and almost superhuman greaser Fonzie.,TV-G,"Comedy, Family, Music",7.4,19684,"https://m.media-amazon.com/images/M/MV5BMzEzOGJhZGEtODA0Zi00NTZiLTkwYjgtNmVmZjk4MjBjNjdiXkEyXkFqcGdeQXVyNzY5MTE3OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",3845.0,Happy Days,Happy Days,en,['US'],41.703,7.782,213.0,1974-01-15,False,/sepIwNPCEhkKvFOQSjXK6tekkjR.jpg,"In 1950s Milwaukee the Cunningham family must contend with Fonzie, a motorcycle riding Casanova.",,Comedy,ABC,"retro, sitcom, 1950s",0
The Kingdom,/title/tt0108906/,(1994–2022),"Doctors at an ultramodern hospital in Denmark become convinced, by way of weird, inexplicable happenings, that the place is haunted.",TV-MA,"Comedy, Drama, Fantasy",8.2,19559,"https://m.media-amazon.com/images/M/MV5BMjM4NDYxMzktOGZiZi00ZTBiLWIwZTEtMzcwYzc3OWMxM2I1XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX67_CR0,0,67,98_AL_.jpg",4267.0,The Kingdom,Riget,da,['DK'],10.859,7.1,26.0,1994-11-24,False,/6Z0Hc9o6HIydmGOHok2e4FoWhXD.jpg,"The Kingdom is the most technologically advanced hospital in Denmark, a gleaming bastion of medical science. A rash of uncanny occurrences, however, begins to weaken the staff's faith in science  a phantom ambulance pulls in every night, but disappears; voices echo in the elevator shaft; and a pregnant doctor's fetus seems to be developing much faster than is natural.",,"Mystery, Drama, Comedy","DR1, Viaplay","nightmare, denmark, ambulance, dark comedy, autopsy, disappearance, hospital, doctor, psychiatrist, demonic possession, ghost, satanic cult, psychological horror",0
