imdb_href,tmdb_id,tmdb_name,original_name,original_language,origin_country,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,first_air_date,tmdb_adult_content,tmdb_poster_path,tmdb_overview,tmdb_tagline,tmdb_genres,tv_networks,tmdb_keywords
/title/tt10234724/,92749.0,Moon Knight,Moon Knight,en,['US'],115.059,7.869,2124.0,2022-03-30,False,/YksR65as1ppF2N48TJAh2PLamX.jpg,"When Steven Grant, a mild-mannered gift-shop employee, becomes plagued with blackouts and memories of another life, he discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marcs enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt.",Embrace the chaos.,"Action & Adventure, Sci-Fi & Fantasy, Mystery",Disney+,"superhero, based on comic, miniseries, gods, egyptian mythology, marvel cinematic universe (mcu), dissociative identity disorder"
/title/tt3749900/,60708.0,Gotham,Gotham,en,['US'],151.556,7.603,3060.0,2014-09-22,False,/4XddcRDtnNjYmLRMYpbrhFxsbuq.jpg,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them  the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?","Before Batman, there was Gotham.","Drama, Crime, Sci-Fi & Fantasy",FOX,"insane asylum, based on comic, super power, super villain, origin story"
/title/tt9208876/,88396.0,The Falcon and the Winter Soldier,The Falcon and the Winter Soldier,en,['US'],66.49,7.717,7761.0,2021-03-19,False,/6kbAMLteGO8yyewYau6bJ683sw7.jpg,"Following the events of Avengers: Endgame, the Falcon, Sam Wilson and the Winter Soldier, Bucky Barnes team up in a global adventure that tests their abilities, and their patience.",Honor the shield.,"Action & Adventure, Drama",Disney+,"superhero, based on comic, miniseries, spin off, marvel cinematic universe (mcu)"
/title/tt11126994/,94605.0,Arcane,Arcane,en,['US'],70.311,8.75,2992.0,2021-11-06,False,/fqldf2t8ztc9aiwn3k6mlX3tvRT.jpg,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama",Netflix,"magic, battle, based on video game, lgbt, adult animation, warrior, origin, power"
/title/tt2364582/,1403.0,Marvel's Agents of S.H.I.E.L.D.,Marvel's Agents of S.H.I.E.L.D.,en,['US'],115.279,7.479,3107.0,2013-09-24,False,/gHUCCMy1vvj58tzE3dZqeC9SXus.jpg,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.",Not all heroes are super.,"Drama, Sci-Fi & Fantasy, Action & Adventure",ABC,"superhero, based on comic, secret government organization, marvel cinematic universe (mcu)"
/title/tt2357547/,38472.0,Marvel's Jessica Jones,Marvel's Jessica Jones,en,['US'],33.089,7.536,1961.0,2015-11-20,False,/paf9wL3mOW9LT3ZjRxXqJcjeMEv.jpg,"After a tragic ending to her short-lived super hero stint, Jessica Jones is rebuilding her personal life and career as a detective who gets pulled into cases involving people with extraordinary abilities in New York City.",Your powers can't save you.,"Sci-Fi & Fantasy, Drama",Netflix,"mind control, superhero, based on comic, female protagonist, super power, private detective, marvel cinematic universe (mcu), masked superhero, neo-noir"
/title/tt8466564/,92830.0,Obi-Wan Kenobi,Obi-Wan Kenobi,en,['US'],65.699,7.252,1167.0,2022-05-26,False,/qJRB789ceLryrLvOKrZqLKr2CGf.jpg,"During the reign of the Galactic Empire, former Jedi Master, Obi-Wan Kenobi, embarks on a crucial mission to confront allies turned enemies and face the wrath of the Empire.","Between darkness and defeat, hope survives.","Sci-Fi & Fantasy, Action & Adventure",Disney+,"childhood trauma, on the run, miniseries, child kidnapping, reluctant hero"
/title/tt7221388/,77169.0,Cobra Kai,Cobra Kai,en,['US'],244.265,8.211,5552.0,2018-05-02,False,/m7tG5E1EbywuwTsl6hq990So0Bx.jpg,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",Cobra Kai never dies.,"Action & Adventure, Drama, Comedy","Netflix, YouTube Premium","martial arts, california, karate, rivalry, sensei, dojo, martial artist, father figure, frenemies, father son relationship"
/title/tt10160804/,88329.0,Hawkeye,Hawkeye,en,['US'],90.41,8.012,2670.0,2021-11-24,False,/uQdAET8dl403BIVktl5gjtzXRDT.jpg,"Former Avenger Clint Barton has a seemingly simple mission: get back to his family for Christmas. Possible? Maybe with the help of Kate Bishop, a 22-year-old archer with dreams of becoming a superhero. The two are forced to work together when a presence from Bartons past threatens to derail far more than the festive spirit.","This holiday season, the best gifts come with a bow.","Drama, Comedy, Action & Adventure",Disney+,"new york city, holiday, crime fighter, superhero, based on comic, miniseries, buddy comedy, marvel cinematic universe (mcu), sign languages, christmas"
/title/tt0285331/,1973.0,24,24,en,['US'],124.196,7.775,1251.0,2001-11-06,False,/iq6yrZ5LEDXf1ArCOYLq8PIUBpV.jpg,"Counterterrorism agent Jack Bauer fights the bad guys of the world, a day at a time. With each week's episode unfolding in real-time, ""24"" covers a single day in the life of Bauer each season.",A lot can happen in a day.,"Action & Adventure, Drama",FOX,"biological weapon, traitor, revenge, los angeles, california, secret service, political intrigue , assassination of president, counter terrorist"
/title/tt1839578/,1411.0,Person of Interest,Person of Interest,en,['US'],83.23,8.08,1388.0,2011-09-22,False,/f8aIvYk5h7Z8EP3dinCmVgQFYow.jpg,"John Reese, former CIA paramilitary operative, is presumed dead and teams up with reclusive billionaire Finch to prevent violent crimes in New York City by initiating their own type of justice. With the special training that Reese has had in Covert Operations and Finch's genius software inventing mind, the two are a perfect match for the job that they have to complete. With the help of surveillance equipment, they work ""outside the law"" and get the right criminal behind bars.",You're Being Watched,"Drama, Action & Adventure, Crime, Sci-Fi & Fantasy",CBS,"new york city, artificial intelligence, hacker, police, anti hero, vigilante, surveillance, government agent, criminal profiler, procedural, techno thriller"
/title/tt9561862/,86831.0,"Love, Death & Robots","Love, Death & Robots",en,['US'],80.762,8.275,2535.0,2019-03-15,False,/cRiDlzzZC5lL7fvImuSjs04SUIJ.jpg,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",The threesome you've been waiting for.,"Animation, Sci-Fi & Fantasy",Netflix,"gore, anthology, love, murder, cyberpunk, apocalypse, robot, death, based on short story, adult animation, military, spaceship, short film"
/title/tt2261227/,68421.0,Altered Carbon,Altered Carbon,en,['US'],52.021,7.729,1558.0,2018-02-02,False,/95IsiH4p5937YXQHaOS2W2dWYOG.jpg,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",No body lives forever.,Sci-Fi & Fantasy,Netflix,"virtual reality, yakuza, investigation, biotechnology, distant future, cyberpunk, body-swap, consciousness, resistance fighter, neo-noir, cyber thriller, blade runner"
/title/tt1355642/,31911.0,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,ja,['JP'],64.951,8.705,1610.0,2009-04-05,False,/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg,"Edward and Alphonse Elric's reckless disregard for alchemy's fundamental laws ripped half of Ed's limbs from his body and left Al's soul clinging to a cold suit of armor. To restore what was lost, the brothers scour a war-torn land for the Philosopher's Stone, a fabled relic which grants the ability to perform alchemy in impossible ways.

The Elrics are not alone in their search; the corrupt State Military is also eager to harness the artifact's power. So too are the strange Homunculi and their shadowy creator. The mythical gem lures exotic alchemists from distant kingdoms, scarring some deeply enough to inspire murder. As the Elrics find their course altered by these enemies and allies, their purpose remains unchanged  and their bond unbreakable.",,"Action & Adventure, Animation, Sci-Fi & Fantasy","MBS, TBS, CBC, SBS TV","politics, supernatural, conspiracy, steampunk, based on manga, alchemy, alchemist, shounen, anime"
/title/tt0384766/,1891.0,Rome,Rome,en,['US'],32.618,8.272,1019.0,2005-08-28,False,/1A1BwgWO3Sw379VEhR0vkTuE3XW.jpg,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,Every city has its secret,"Action & Adventure, Drama",HBO,"rome, italy, roman empire, ancient rome, betrayal, soldier, rise to power, historical drama, 1st century, brutal violence, political rival"
