name,href,lda_topic0_match_pct,lda_topic1_match_pct,lda_topic2_match_pct,lda_topic3_match_pct,lda_topic4_match_pct,lsa_topic0_cos_match,lsa_topic1_cos_match,lsa_topic2_cos_match,lsa_topic3_cos_match,lsa_topic4_cos_match,lsa_topic5_cos_match,lsa_topic6_cos_match,lsa_topic7_cos_match,lsa_topic8_cos_match,lsa_topic9_cos_match
The Flash,/title/tt3107288/,0.011812401624001958,0.011812405480413356,0.011812400120782367,0.9527394458383067,0.01182334693649562,0.20050021809910548,-0.04103307448857567,-0.04984514015126903,-0.015513520891008286,0.023147686874738057,0.10554373305224374,-0.05454505069121562,0.024582193511832405,-0.06108688544044638,-0.0018122410202543616
WandaVision,/title/tt9140560/,0.010212421807376726,0.010212425613312884,0.010212419685835313,0.9591495878987201,0.010213144994755088,0.2039920987870219,-0.03728356717844072,0.033883725776544284,-0.020965267600812763,0.04513198440778691,0.05893970242108918,-0.038930061064484545,0.0068996304069270644,-0.033850637329553,0.05122659894873342
Loki,/title/tt9140554/,0.020209702586910353,0.020209709434245864,0.020209699172589368,0.9191595586360906,0.020211330170163817,0.13086797755479757,-0.04405649913085031,-0.04696486030955232,-0.01943860292231719,0.06428706724102402,0.07411622847442874,-0.04643523738577029,0.017726228315130634,-0.04023596638642028,-0.061116422604142455
Avatar: The Last Airbender,/title/tt0417299/,0.013764893067259674,0.013764898317968989,0.013764891319493681,0.9448837386246535,0.013821578670624184,0.21548887195823607,-0.14014018351037769,-0.11921506337356798,0.014614182325118465,0.014824660658213971,0.03450562306422131,0.0008906765573425966,0.02023526467922426,-0.02667073614669965,6.475955501248922e-05
The Lord of the Rings: The Rings of Power,/title/tt7631058/,0.013110031270405947,0.013110032099464779,0.013110026828586373,0.9475606014450093,0.01310930835653358,0.1928676687234889,-0.069558592302582,-0.05434221938074271,-0.015480815548969145,0.04772283843659011,0.11197847316066031,-0.043937352057649516,0.03263094597657678,-0.05982411852707621,-0.015687886742163083
House of the Dragon,/title/tt11198330/,0.012246171689638602,0.012234591410635593,0.01223458632121994,0.9510364795011345,0.012248171077371231,0.23251195006836653,-0.07724924709217085,-0.05031874457304113,-0.021410300203485624,0.0686692534309134,0.13047122480418452,-0.04742443335228466,0.06719141064927703,-0.05167614818863958,-0.01751100229681128
The Umbrella Academy,/title/tt1312171/,0.010964341785117829,0.010964345688469657,0.010964340095560729,0.9561421077564379,0.010964864674413868,0.2481651786697653,-0.07258918617084248,0.009238829853551837,-0.018839522795385616,0.024038233170179623,0.0848416605847843,-0.07677986646154439,-0.0073657497873119045,-0.06643802030684537,-0.009208435321608081
Spartacus,/title/tt1442449/,0.020765146412247134,0.020765154987970953,0.0207651422198908,0.9169405175338834,0.0207640388460078,0.1065541763669603,-0.023482535230885636,-0.03870459998500836,0.025014553884211543,0.018916977816348667,0.08422185276849513,-0.07435168228805193,0.10946902691401311,0.03197968065253947,0.02683981505846174
The Punisher,/title/tt5675620/,0.012129708636587114,0.012129712208010584,0.012129706383604841,0.9514741832461366,0.012136689525660873,0.23375450380017107,0.06954007140796574,-0.05770017903964555,-0.009996342403485937,-0.042949163279303426,0.07516873493063722,-0.07532183713294002,0.022982590388947066,-0.03290889139010847,-0.04681149795340679
Moon Knight,/title/tt10234724/,0.01170545849395528,0.011705462642436158,0.011705456432142013,0.9531788841745494,0.011704738256917164,0.18481588861700948,-0.04735078746732632,-0.03876715255217304,-0.03537681525753477,0.0826601402723152,0.086719847230862,-0.04886121263911615,0.032762353823057824,-0.037714641391464916,-0.028483531347775173
